,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
18635,PL/4853/EXP/ES/2015,Calle Obrero Mundial No. 2328,Sinaloa,Mazatlán,PETROPLAZAS S.A. DE C.V.,4853
18637,PL/4854/EXP/ES/2015,Nayarit Esquina Simon Bley,Sonora,Hermosillo,"ESTACION PIRU, S.A. DE C.V.",4854
18639,PL/4855/EXP/ES/2015,Boulevard Macario Gaxiola No. 1500 Sur.,Sinaloa,Ahome,PETROPLAZAS S.A. DE C.V.,4855
18641,PL/4856/EXP/ES/2015,Via José López Portillo No. 93,México,Tultitlán,"GASOLINERIA JANVAL, S.A. DE C.V.",4856
18643,PL/4857/EXP/ES/2015,Carretera El Sauz Palau No. 69,Coahuila de Zaragoza,Múzquiz,MULTISERVICIOS TERASHIMA SA CV,4857
18646,PL/4858/EXP/ES/2015,Camino Santo Domingo-Mezquital 1953,Nuevo León,San Nicolás de los Garza,"SERVICIO LA CUCHILLA, S. A. DE C. V.",4858
18648,PL/4859/EXP/ES/2015,Avenida Santo Domingo No. 1429,Nuevo León,San Nicolás de los Garza,"SERVICIO VALLES DE SANTO DOMINGO, S. A. DE C. V.",4859
18650,PL/486/EXP/ES/2015,Boulevard Miguel de La Madrid Km 8 Lado Sur,Nuevo León,Guadalupe,"PETROMAX, S.A. DE C.V.",486
18652,PL/4860/EXP/ES/2015,Carretera Valle de Salamanca Km 2,Guanajuato,Valle de Santiago,ESTACIONES DE SERVICIO S.A. DE C.V.,4860
18655,PL/4861/EXP/ES/2015,Avenida Manuel J. Clouthier S/N,Sinaloa,Mazatlán,PETROPLAZAS S.A. DE C.V.,4861
18657,PL/4862/EXP/ES/2015,Km 1 Carretera Tulancingo-Santiago,Hidalgo,Tulancingo de Bravo,FELIPE SIMON OLVERA CASTELAN,4862
18659,PL/4863/EXP/ES/2015,Lázaro Cárdenas No. 4624,Guanajuato,Irapuato,SERVICIO LLENALO SA DE CV,4863
18661,PL/4864/EXP/ES/2015,Casimiro Liceaga No. 364,Guanajuato,Irapuato,SERVICIO CASIMIRO LICEAGA SA DE CV,4864
18663,PL/4865/EXP/ES/2015,Paseo Solidaridad No. 12254,Guanajuato,Irapuato,SERVICIO SOLIDARIDAD SA DE CV,4865
18667,PL/4866/EXP/ES/2015,Avenida Universidad Poniente No. 192,Querétaro,Querétaro,"SERVICIO EL RETABLO, S.A. DE C.V.",4866
18669,PL/4867/EXP/ES/2015,Avenida Prolongación 20 de Noviembre No. 4513,Baja California,Tijuana,Gasolinera Monte San Antonio S.A. de C.V.,4867
18671,PL/4868/EXP/ES/2015,Carretera Cajititlán-Cuexcomatitlán No. 800 Km 6.40,Jalisco,Tlajomulco de Zúñiga,GASOLINERA CUESCO S.A. DE C.V.,4868
18674,PL/4869/EXP/ES/2015,Avenida Americas No. 1230,Jalisco,Guadalajara,ESTACION DE SERVICIO COLON SA DE CV,4869
18676,PL/487/EXP/ES/2015,Carretera a Laredo Km 20,Nuevo León,Apodaca,"PETROMAX, S.A. DE C.V.",487
18679,PL/4871/EXP/ES/2015,Cuauhtemoc No. 1615 Poniente,Coahuila de Zaragoza,Sabinas,"PREMIER NOGALAR, S.A. DE C.V.",4871
18681,PL/4872/EXP/ES/2015,Km 83.5 Carretera Poza Rica-Nautla,Veracruz de Ignacio de la Llave,Tecolutla,EFRAIN MARTINEZ COSSIO,4872
